x, y, z
54.08, 103.11, 129.31
52.34, 104.75, 130.05
48.72, 103.53, 127.08
46.68, 104.47, 127.08
43.94, 104.92, 126.33
41.63, 105.14, 125.59
39.79, 106.57, 126.33
37.03, 105.43, 124.11
34.74, 105.50, 123.36
33.05, 107.44, 124.85
30.94, 108.07, 124.85
28.81, 108.66, 124.85
26.35, 107.90, 123.36
23.95, 109.15, 124.11
21.54, 108.29, 122.62
19.53, 109.35, 123.36
17.38, 109.71, 123.36
15.22, 110.03, 123.36
12.70, 111.02, 124.11
10.52, 111.25, 124.11
8.48, 113.44, 126.33
6.25, 113.58, 126.33
4.02, 113.68, 126.33
1.78, 113.07, 125.59
-0.44, 113.08, 125.59
-3.18, 115.72, 128.56
-5.91, 115.61, 128.56
-8.22, 116.14, 129.31
-10.56, 116.62, 130.05
-13.00, 117.72, 131.54
-15.77, 117.38, 131.54
-18.37, 119.03, 133.77
-20.71, 118.65, 133.77
-24.06, 123.47, 139.71
-28.17, 130.83, 148.63
-36.26, 153.70, 175.38
-41.77, 162.68, 186.53
-46.32, 164.22, 189.50
-50.11, 165.20, 191.73
-53.55, 164.82, 192.47
-56.56, 163.11, 191.73
-59.29, 160.71, 190.25
-52.68, 134.59, 160.52
-53.77, 129.82, 156.06
-56.28, 127.29, 154.57
-59.89, 128.59, 157.55
-63.88, 130.39, 161.26
-67.96, 132.09, 164.98
-71.49, 132.50, 167.21
-76.91, 134.84, 172.41
-80.76, 134.14, 173.90
-73.40, 116.67, 153.09
-67.56, 103.73, 137.48
-68.47, 99.90, 134.51
-68.47, 95.82, 130.79
-69.94, 93.92, 130.05
-70.48, 90.13, 127.08
-71.82, 88.21, 126.33
-71.81, 84.75, 123.36
-73.01, 82.82, 122.62
-72.82, 79.40, 119.65
-75.75, 79.40, 121.88
-80.12, 80.75, 126.33
-85.86, 82.55, 132.28
-91.39, 84.48, 138.22
-95.53, 84.89, 141.94
-94.13, 80.39, 137.48
-95.17, 78.11, 136.74
-96.16, 75.81, 136.00
-96.03, 72.69, 133.77
-97.72, 70.41, 133.77
-99.08, 68.48, 133.77
-97.87, 64.29, 130.05
-99.68, 62.71, 130.79
-100.32, 60.40, 130.05
-100.55, 57.35, 128.56
-101.07, 55.05, 127.82
-102.73, 53.36, 128.56
-103.75, 51.34, 128.56
-104.14, 49.00, 127.82
-128.91, 57.59, 156.80
-130.01, 55.05, 156.80
-130.03, 51.48, 155.32
-131.01, 48.92, 155.32
-130.69, 45.89, 153.83
-132.20, 43.53, 154.57
-133.67, 41.12, 155.32
-149.89, 42.91, 173.15
-165.58, 43.90, 190.25
-165.91, 39.83, 189.50
-165.36, 36.28, 188.02
-169.84, 34.48, 192.47
-169.17, 30.90, 190.99
-143.41, 22.71, 161.26
-139.86, 19.34, 156.80
-140.94, 16.12, 157.55
-142.61, 12.92, 159.03
-142.17, 10.07, 158.29
-145.68, 7.44, 162.01
-142.45, 4.48, 158.29
-123.12, 0.97, 136.74
-116.42, -1.37, 129.31
-116.37, -3.66, 129.31
-118.28, -6.04, 131.54
-118.81, -8.41, 132.28
-119.29, -10.80, 133.02
-120.38, -13.29, 134.51
-120.70, -16.21, 135.25
-121.68, -18.78, 136.74
-124.58, -21.74, 140.45
-124.13, -24.18, 140.45
-124.94, -26.90, 141.94
-125.69, -29.65, 143.43
-126.38, -32.45, 144.91
-127.51, -35.96, 147.14
-128.70, -39.04, 149.37
-131.09, -42.60, 153.09
-156.57, -54.98, 184.30
-161.10, -60.15, 190.99
-162.13, -64.93, 193.96
-163.28, -69.14, 196.93
-164.95, -73.70, 200.65
-167.10, -78.63, 205.11
-167.93, -83.09, 208.08
-167.45, -86.98, 209.57
-165.71, -90.25, 209.57
-163.54, -94.13, 209.57
-161.08, -96.98, 208.82
-158.02, -99.41, 207.34
-157.71, -103.60, 209.57
-158.41, -108.57, 213.28
-161.60, -114.52, 219.97
-162.61, -121.10, 225.17
-163.37, -126.73, 229.63
-164.49, -133.92, 235.58
-165.41, -140.15, 240.78
-167.14, -147.35, 247.47
-168.16, -154.23, 253.41
-168.00, -160.27, 257.87
-164.99, -162.42, 257.13
-162.05, -167.22, 258.61
-157.37, -168.90, 256.38
-154.47, -172.46, 257.13
-150.61, -174.95, 256.38
-147.15, -177.87, 256.38
-142.50, -180.76, 255.64
-138.93, -183.53, 255.64
-135.69, -186.76, 256.38
-131.23, -188.29, 254.90
-127.51, -190.83, 254.90
-123.74, -193.30, 254.90
-119.92, -195.69, 254.90
-115.28, -198.46, 254.90
-111.36, -200.69, 254.90
-107.08, -202.24, 254.16
-102.79, -203.71, 253.41
-98.77, -205.69, 253.41
-94.71, -207.59, 253.41
-90.35, -208.79, 252.67
-77.68, -213.12, 251.93
-73.26, -213.97, 251.18
-68.40, -216.28, 251.93
-64.14, -217.58, 251.93
-59.50, -217.50, 250.44
-55.38, -219.28, 251.18
-50.92, -219.67, 250.44
-46.46, -219.98, 249.70
-42.38, -222.16, 251.18
-37.02, -222.44, 250.44
-33.43, -222.33, 249.70
-28.97, -222.28, 248.95
-23.72, -222.90, 248.95
-19.28, -222.66, 248.21
-14.77, -220.99, 245.98
-10.50, -222.57, 247.47
-5.20, -220.75, 245.24
-0.87, -221.48, 245.98
3.45, -219.45, 243.75
7.73, -218.67, 243.01
12.06, -219.14, 243.75
17.22, -218.80, 243.75
22.30, -217.67, 243.01
26.65, -217.85, 243.75
30.74, -215.96, 242.27
35.08, -215.98, 243.01
38.71, -211.95, 239.29
41.13, -202.63, 229.63
44.11, -193.77, 220.71
45.81, -184.43, 211.05
47.51, -176.39, 202.88
48.91, -168.35, 194.70
50.61, -162.25, 188.76
52.09, -156.15, 182.81
53.80, -151.31, 178.35
55.20, -144.38, 171.67
56.52, -139.54, 167.21
57.67, -134.71, 162.75
58.65, -129.90, 158.29
59.18, -124.49, 153.09
60.42, -120.91, 150.12
61.22, -116.74, 146.40
62.01, -111.75, 141.94
61.92, -105.64, 136.00
62.93, -102.69, 133.77
63.13, -98.62, 130.05
64.68, -96.81, 129.31
67.33, -95.80, 130.05
68.80, -93.92, 129.31
70.64, -92.55, 129.31
72.02, -90.63, 128.56
73.79, -89.19, 128.56
75.96, -88.24, 129.31
76.79, -85.73, 127.82
78.78, -83.90, 127.82
80.42, -82.33, 127.82
82.02, -80.74, 127.82
84.07, -79.57, 128.56
85.12, -77.46, 127.82
86.63, -75.77, 127.82
88.61, -74.49, 128.56
89.82, -71.96, 127.82
91.22, -70.18, 127.82
92.04, -67.98, 127.08
93.35, -66.16, 127.08
94.64, -64.31, 127.08
96.37, -61.69, 127.08
96.99, -59.44, 126.33
98.14, -57.52, 126.33
99.25, -55.58, 126.33
100.91, -53.94, 127.08
101.95, -51.95, 127.08
86.70, -42.05, 107.01
45.66, -20.83, 55.74
41.14, -17.80, 49.79
40.25, -16.49, 48.30
43.68, -16.90, 52.02
41.49, -15.12, 49.05
41.15, -14.09, 48.30
39.51, -12.66, 46.07
40.43, -11.92, 46.82
40.02, -10.95, 46.07
40.22, -10.16, 46.07
40.41, -9.37, 46.07
41.90, -8.85, 47.56
41.41, -7.90, 46.82
42.22, -7.20, 47.56
43.04, -6.30, 48.30
44.48, -5.62, 49.79
41.94, -4.30, 46.82
32.67, -2.83, 36.41
36.06, -2.27, 40.13
34.09, -1.47, 37.90
34.12, -0.67, 37.90
32.05, 0.00, 34.37
33.41, 0.66, 35.84
32.03, 1.26, 34.37
29.28, 1.73, 31.45
30.60, 2.41, 32.91
27.14, 2.78, 29.25
29.79, 3.64, 32.18
32.41, 4.61, 35.10
30.29, 4.92, 32.91
31.53, 5.76, 34.37
33.42, 6.78, 36.57
33.94, 7.59, 37.30
39.71, 9.86, 43.88
46.10, 12.42, 51.19
45.84, 13.32, 51.19
44.27, 13.81, 49.73
45.29, 15.11, 51.19
43.05, 15.31, 49.00
44.02, 16.63, 50.46
42.35, 17.15, 49.00
43.26, 18.52, 50.46
42.19, 19.25, 49.73
41.19, 19.78, 49.00
40.79, 20.58, 49.00
39.10, 20.90, 47.54
39.87, 22.33, 49.00
39.42, 23.11, 49.00
38.96, 23.87, 49.00
39.06, 25.00, 49.73
37.43, 25.01, 48.27
36.37, 25.35, 47.54
35.76, 26.20, 47.54
35.24, 26.89, 47.54
34.70, 27.58, 47.54
35.21, 29.13, 49.00
36.18, 31.15, 51.19
50.29, 45.05, 72.40
47.58, 43.98, 69.48
46.04, 44.61, 68.75
44.02, 44.71, 67.28
44.07, 46.56, 68.75
43.60, 47.92, 69.48
42.66, 48.77, 69.48
41.69, 49.60, 69.48
40.28, 49.87, 68.75
39.09, 50.81, 68.75
40.92, 55.41, 73.87
45.88, 65.28, 85.57
44.97, 66.74, 86.30
51.42, 79.64, 101.66
50.24, 81.99, 103.12
57.59, 98.26, 122.14
57.32, 102.35, 125.79
55.94, 104.66, 127.26
54.49, 106.95, 128.72
51.49, 106.16, 126.52
49.11, 106.53, 125.79
46.32, 107.03, 125.06
43.69, 106.66, 123.60
41.83, 108.13, 124.33
39.47, 108.29, 123.60
36.89, 107.75, 122.14
35.19, 109.76, 123.60
32.83, 109.77, 122.87
30.23, 110.51, 122.87
27.89, 110.43, 122.14
25.56, 110.29, 121.40
23.67, 112.10, 122.87
21.21, 111.21, 121.40
19.14, 112.27, 122.14
16.83, 111.95, 121.40
13.91, 113.73, 122.87
11.68, 113.98, 122.87
9.49, 114.87, 123.60
7.28, 115.71, 124.33
4.55, 115.85, 124.33
2.73, 115.91, 124.33
0.45, 115.26, 123.60
-2.30, 117.28, 125.79
-4.63, 117.89, 126.52
-6.99, 118.46, 127.26
-9.42, 119.66, 128.72
-12.23, 119.41, 128.72
-14.66, 119.82, 129.45
-17.10, 120.18, 130.18
-19.46, 119.83, 130.18
-22.42, 122.77, 133.84
-26.19, 128.99, 141.15
-32.43, 145.10, 159.44
-40.94, 164.81, 182.11
-44.88, 166.61, 185.03
-48.90, 168.31, 187.96
-52.60, 168.62, 189.42
-55.47, 166.26, 187.96
-59.18, 166.43, 189.42
-56.10, 145.02, 166.75
-54.03, 131.90, 152.85
-56.07, 129.56, 151.39
-60.02, 131.54, 155.05
-63.77, 132.79, 157.97
-71.17, 134.41, 163.09
-73.72, 135.36, 165.29
-76.85, 135.96, 167.48
